event_type,title,total_participants,new_users,existing_users,new_user_pct
Datathon,Datathon Bulan Wiki Perempuan 2026,31,4,27,12.903225806451612
Datathon,Datathon Musik Indonesia,13,1,12,7.6923076923076925
Datathon,Geodatathon Agustus 2025,26,0,26,0.0
Datathon,Geodatathon Desember 2025 - Cadang,23,3,20,13.043478260869565
Kopdar,Kopdar Wikidata Bandung 7 Juni 2026,13,0,13,0.0
Kopdar,Kopdar Wikidata Bandung Oktober 2025,12,2,10,16.666666666666664
Kopdar,Kopdar Wikidata Daluring Jambi x Jakarta Januari 2025,16,4,12,25.0
Kopdar,Kopdar Wikidata Jakarta 14 Desember 2025,12,0,12,0.0
Kopdar,Kopdar Wikidata Malang 5 Desember 2025,9,1,8,11.11111111111111
Kopdar,Kopdar Wikidata Padang 15 November 2025,7,0,7,0.0
Kopdar,Kopdar Wikidata Padang 24 Mei 2026,12,0,12,0.0
Kopdar,Kopdar Wikidata Yogyakarta 24 Mei 2026,13,1,12,7.6923076923076925
Kopdar,Kopdar Wikimedia Surabaya 20 November 2025,10,0,10,0.0
Pemagangan,Pemagangan Datatek April 2026,1,0,1,0.0
Pemagangan,Pemagangan Datatek Desember 2025,1,1,0,100.0
Wikilatih,Wikilatih WIkidata Telkom University Oktober 2025,10,9,1,90.0
Wikilatih,Wikilatih Wikidata BPS Sumut,13,3,10,23.076923076923077
Wikilatih,Wikilatih Wikidata BRIN,22,21,1,95.45454545454545
Wikilatih,Wikilatih Wikidata Bangka Belitung Januari 2026,18,14,4,77.77777777777779
Wikilatih,Wikilatih Wikidata Banjarnegara,18,12,6,66.66666666666666
Wikilatih,Wikilatih Wikidata Daring untuk Akademisi,23,6,17,26.08695652173913
Wikilatih,Wikilatih Wikidata IDJN,4,4,0,100.0
Wikilatih,Wikilatih Wikidata Jakarta 31 Maret 2026,17,14,3,82.35294117647058
Wikilatih,Wikilatih Wikidata Kehutanan UNSRAT,14,14,0,100.0
Wikilatih,Wikilatih Wikidata Madura 29 Maret,14,0,14,0.0
Wikilatih,Wikilatih Wikidata Padang 18 Januari 2025,19,3,16,15.789473684210526
Wikilatih,Wikilatih Wikidata Palembang 21 Juni 2026,14,8,6,57.14285714285714
Wikilatih,Wikilatih Wikidata Semarang 21 Juni 2026,10,9,1,90.0
Wikilatih,Wikilatih Wikidata UISU 27 Oktober 2025,18,18,0,100.0
Wikilatih,Wikilatih Wikidata UNAIR 21 November 2025,16,16,0,100.0
Wikilatih,Wikilatih Wikidata YBLI,1,0,1,0.0
Wikilatih,Wikilatih Wikidata Yogyakarta 2026,16,4,12,25.0
