username,course,registered_at,start_date,account_age_days,user_cohort
Adhmi,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2018-05-03 07:41:24+00:00,2025-08-26 17:00:00+00:00,2672.3879166666666,Existing User
Rinai Natsumi,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2017-11-04 05:27:20+00:00,2025-08-26 17:00:00+00:00,2852.4810185185183,Existing User
Sygrayem,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2014-12-17 13:11:20+00:00,2025-08-26 17:00:00+00:00,3905.1587962962963,Existing User
JumadilM,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2019-12-15 13:25:14+00:00,2025-08-26 17:00:00+00:00,2081.1491435185185,Existing User
Supardisahabu,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2019-12-28 11:48:42+00:00,2025-08-26 17:00:00+00:00,2068.2161805555556,Existing User
Lnahdiya,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2019-05-20 15:14:58+00:00,2025-08-26 17:00:00+00:00,2290.0729398148146,Existing User
Andri Kesenja 01,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2020-09-25 06:58:59+00:00,2025-08-26 17:00:00+00:00,1796.4173726851852,Existing User
Fakhruddin Arrazzi,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2019-10-06 14:51:42+00:00,2025-08-26 17:00:00+00:00,2151.0890972222223,Existing User
Mery Nurfa Dilla,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2021-10-24 06:16:42+00:00,2025-08-26 17:00:00+00:00,1402.446736111111,Existing User
Sibiru45,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2016-11-05 12:23:59+00:00,2025-08-26 17:00:00+00:00,3216.1916782407407,Existing User
Hasnanf,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2022-11-03 11:45:07+00:00,2025-08-26 17:00:00+00:00,1027.2186689814814,Existing User
Rizall 91202,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2023-01-01 03:09:15+00:00,2025-08-26 17:00:00+00:00,968.5769097222222,Existing User
Fardhanzlf,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2023-02-24 18:36:58+00:00,2025-08-26 17:00:00+00:00,913.9326620370371,Existing User
Orfetaum,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2023-03-30 15:29:44+00:00,2025-08-26 17:00:00+00:00,880.0626851851852,Existing User
Cgjkldn,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2022-03-22 12:58:31+00:00,2025-08-26 17:00:00+00:00,1253.1676967592593,Existing User
Quraeni,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2023-02-27 05:32:54+00:00,2025-08-26 17:00:00+00:00,911.4771527777777,Existing User
