course_slug;title;institution;term;home_wiki;created_at;start_date;end_date;new_or_returning;editors;new_editors;articles_edited;articles_created;bytes_added;references_added;total_edits;mainspace_edits;article_talk_edits;userspace_edits;article_views;upload_count;uploads_used_in_articles;upload_usage_count_across_all_wikis;training_completion_rate
Wikimedia_Indonesia/Geodatathon_Agustus_2025;Geodatathon Agustus 2025;Wikimedia Indonesia;;www.wikidata.org;2025-08-22 14:46:47 UTC;2025-08-26 17:00:00 UTC;2025-08-29 16:59:00 UTC;returning_instructor;26;0;29165;843;72722530;54944;324843;4921;;;10746;6;3;4;01.00
Wikimedia_Indonesia/Kopdar_Wikidata_Padang_15_November_2025;Kopdar Wikidata Padang 15 November 2025;Wikimedia Indonesia;;www.wikidata.org;2025-11-10 03:41:49 UTC;2025-11-14 23:00:00 UTC;2025-11-15 23:00:00 UTC;returning_instructor;7;1;74;63;248570;0;650;650;;;1867;0;0;0;01.00
Wikimedia_Indonesia/Wikilatih_Wikidata_UISU_27_Oktober_2025;Wikilatih Wikidata UISU 27 Oktober 2025;Wikimedia Indonesia;;www.wikidata.org;2025-11-12 04:46:28 UTC;2025-10-26 23:00:00 UTC;2025-10-27 23:00:00 UTC;returning_instructor;18;18;21;20;61437;0;150;;;;640;0;0;0;01.00
Wikimedia_Indonesia/Kopdar_Wikimedia_Surabaya_20_November_2025_(20_November_2025);Kopdar Wikimedia Surabaya 20 November 2025;Wikimedia Indonesia;20-Nov-25;www.wikidata.org;2025-11-14 12:21:04 UTC;2025-11-19 22:00:00 UTC;2025-11-20 22:00:00 UTC;returning_instructor;10;0;30;1;21223;20;85;85;;;8508;0;0;0;01.00
Wikimedia_Indonesia/Wikilatih_Wikidata_UNAIR_21_November_2025;Wikilatih Wikidata UNAIR 21 November 2025;Wikimedia Indonesia;;www.wikidata.org;2025-11-14 12:26:09 UTC;2025-11-20 22:00:00 UTC;2025-11-21 22:00:00 UTC;returning_instructor;16;16;17;0;18982;4;122;91;;31;236;0;0;0;01.00
Wikimedia_Indonesia/Kopdar_Wikidata_Malang_5_Desember_2025;Kopdar Wikidata Malang 5 Desember 2025;Wikimedia Indonesia;;www.wikidata.org;2025-11-25 02:21:30 UTC;2025-12-04 22:00:00 UTC;2025-12-05 22:00:00 UTC;returning_instructor;9;2;13;1;15825;8;239;42;;;584;1;0;0;01.00
Wikimedia_Indonesia/Kopdar_Wikidata_Jakarta_14_Desember_2025_(14_Desember_2025);Kopdar Wikidata Jakarta 14 Desember 2025;Wikimedia Indonesia;14 Desember 2025;www.wikidata.org;2025-12-10 02:33:24 UTC;2025-12-13 15:00:00 UTC;2025-12-15 16:00:00 UTC;returning_instructor;12;1;129;0;114224;9;630;630;;;830;8;3;7;01.00
Wikimedia_Indonesia/Geodatathon_Desember_2025;Geodatathon Desember 2025;Wikimedia Indonesia;;www.wikidata.org;2025-12-13 03:08:06 UTC;2025-12-19 17:00:00 UTC;2025-12-22 16:59:00 UTC;returning_instructor;23;6;3106;2771;24726581;36145;9254;9103;;141;6057;21;16;17;01.00
Wikimedia_Indonesia/Wikilatih_Wikidata_Daring_untuk_Akademisi;Wikilatih Wikidata Daring untuk Akademisi;Wikimedia Indonesia;;www.wikidata.org;2025-12-17 02:59:13 UTC;2025-12-18 22:00:00 UTC;2025-12-19 22:00:00 UTC;returning_instructor;23;11;33;1;70212;71;199;165;;34;538;3;0;0;01.00
Wikimedia_Indonesia/Pemagangan_Datatek_Desember_2025;Pemagangan Datatek Desember 2025;Wikimedia Indonesia;;www.wikidata.org;2025-12-17 06:08:35 UTC;2025-12-14 17:00:00 UTC;2026-03-15 16:59:00 UTC;returning_instructor;1;1;38;17;97842;34;240;229;;8;1479;1;0;0;01.00
Wikimedia_Indonesia/Wikilatih_Wikidata_IDJN;Wikilatih Wikidata IDJN;Wikimedia Indonesia;;www.wikidata.org;2025-12-18 08:48:54 UTC;2025-08-28 22:00:00 UTC;2025-08-29 22:00:00 UTC;returning_instructor;4;4;0;0;0;0;0;;;;0;0;0;0;00.00
