username;course;registered_at
Adhmi;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2018-05-03 07:41:24 UTC
Rinai Natsumi;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2017-11-04 05:27:20 UTC
Sygrayem;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2014-12-17 13:11:20 UTC
JumadilM;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2019-12-15 13:25:14 UTC
Supardisahabu;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2019-12-28 11:48:42 UTC
Lnahdiya;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2019-05-20 15:14:58 UTC
Andri Kesenja 01;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2020-09-25 06:58:59 UTC
Fakhruddin Arrazzi;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2019-10-06 14:51:42 UTC
Mery Nurfa Dilla;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2021-10-24 06:16:42 UTC
Sibiru45;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2016-11-05 12:23:59 UTC
Hasnanf;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2022-11-03 11:45:07 UTC
Rizall 91202;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2023-01-01 03:09:15 UTC
Fardhanzlf;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2023-02-24 18:36:58 UTC
Orfetaum;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2023-03-30 15:29:44 UTC
Cgjkldn;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2022-03-22 12:58:31 UTC
Quraeni;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2023-02-27 05:32:54 UTC
Iripseudocorus;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2023-11-13 09:21:35 UTC
Syurida;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2024-01-27 17:42:00 UTC
Sansabit;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2024-05-19 03:38:44 UTC
Lembayung Indah;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2024-01-19 00:41:37 UTC
Fatma nizam92;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2024-06-14 16:43:38 UTC
Muufii;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2024-06-27 08:34:34 UTC
Niryhpr;Wikimedia_Indonesia/Geodatathon_Agustus_2025;2024-10-17 16:54:26 UTC
