course name;claims created;claims changed;claims removed;items created;lexeme items created;labels added;labels changed;labels removed;descriptions added;descriptions changed;descriptions removed;aliases added;aliases changed;aliases removed;merged from;merged to;interwiki links added;interwiki links removed;redirects created;reverts performed;restorations performed;items cleared;qualifiers added;other updates;unknown;no data;total revisions
Geodatathon Agustus 2025;69122;69052;123;843;1;113657;1969;6;49463;23633;5;3043;11;6;3;3;3;0;3;63;1;3;56;0;0;0;324843
Kopdar Wikidata Padang 15 November 2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;650
Wikilatih Wikidata UISU 27 Oktober 2025;123;1;6;20;0;20;0;0;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150
Kopdar Wikimedia Surabaya 20 November 2025;14;7;1;0;0;33;1;0;7;4;0;2;0;0;0;0;6;0;0;0;0;0;7;0;0;0;75
Wikilatih Wikidata UNAIR 21 November 2025;27;9;1;0;0;26;1;0;9;5;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;122
Kopdar Wikidata Malang 5 Desember 2025;19;12;0;1;0;1;0;0;4;0;0;2;0;0;0;0;6;0;0;0;0;0;4;0;0;0;239
Kopdar Wikidata Jakarta 14 Desember 2025;188;18;26;0;0;141;41;6;145;45;4;46;7;5;2;2;12;3;2;0;0;0;2;0;0;0;630
Geodatathon Desember 2025;17477;718;199;2771;0;11663;107;58;10841;155;38;5579;30;32;12;15;43;26;15;1;0;9;1839;0;0;0;9254
Wikilatih Wikidata Daring untuk Akademisi;70;54;12;1;0;7;0;0;9;10;0;2;4;0;0;0;3;0;0;1;0;0;9;0;0;0;199
Pemagangan Datatek Desember 2025;140;32;3;15;0;42;18;0;36;20;0;42;5;1;0;0;0;0;0;4;0;0;16;0;0;0;240
Geodatathon Desember 2025 - Cadang;17477;718;199;2771;0;11663;107;58;10841;155;38;5579;30;32;12;15;43;26;15;1;0;9;1839;0;0;0;9254
Wikilatih Wikidata BPS Sumut;51;12;0;6;0;24;1;0;20;9;0;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;135
Wikilatih Wikidata Padang 18 Januari 2025;764;47;25;71;0;100;5;0;91;10;0;14;2;0;0;0;0;0;0;0;0;0;7;0;0;0;977
Wikilatih Wikidata Bangka Belitung Januari 2026;180;44;4;30;0;61;2;0;61;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329
Kopdar Wikidata Daluring Jambi x Jakarta Januari 2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;284
Wikilatih Wikidata YBLI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
Datathon Musik Indonesia;4553;713;128;565;0;1240;23;1;819;125;1;29;1;1;0;0;17;0;0;1;0;0;72;0;0;0;6821
Wikilatih Wikidata BRIN;340;101;3;21;0;61;3;0;51;11;0;17;6;0;0;0;0;0;0;0;0;0;20;0;0;0;633
Wikilatih Wikidata Madura 29 Maret;255;12;3;35;0;77;4;0;66;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;390
Wikilatih Wikidata Jakarta 31 Maret 2026;72;17;6;10;0;39;6;0;10;8;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178
Wikilatih Wikidata Banjarnegara;36;24;3;0;0;5;0;0;9;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82
Datathon Bulan Wiki Perempuan 2026;2054;3081;36;83;0;4639;12;1;417;107;1;98;4;0;1;1;6;0;1;1;0;1;966;0;0;0;11870
Wikilatih Wikidata Yogyakarta 2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;658
Pemagangan Datatek April 2026;6;4;0;1;0;5;0;0;4;6;0;10;1;0;0;0;0;0;0;0;0;0;1;0;0;0;31
Kopdar Wikidata Yogyakarta 24 Mei 2026;175;59;4;12;0;43;10;0;51;15;0;42;3;0;0;0;0;1;0;0;0;0;25;0;0;0;397
Kopdar Wikidata Padang 24 Mei 2026;265;1;2;38;0;51;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332
Wikilatih Wikidata Kehutanan UNSRAT;40;33;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90
Kopdar Wikidata Bandung 7 Juni 2026;707;47;11;58;0;106;0;0;105;1;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;919
Wikilatih Wikidata Semarang 21 Juni 2026;27;6;2;0;0;11;5;0;5;2;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;89
Wikilatih Wikidata Palembang 21 Juni 2026;131;88;11;6;0;6;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;278
Total;114313;74910;811;7358;1;143721;2315;130;73139;24336;87;14572;108;77;30;36;140;57;36;72;1;22;4910;0;0;0;370155
