username,course,registered_at,course_slug,title,start_date,event_type,first_event_date,account_age_days,user_cohort,total_events_attended,is_repeat_user
27sarchives,Wikimedia_Indonesia/Wikilatih_Wikidata_Palembang_21_Juni_2026,2026-06-21 03:03:29+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Palembang_21_Juni_2026,Wikilatih Wikidata Palembang 21 Juni 2026,2026-06-20 22:00:00+00:00,Wikilatih,2026-06-20 22:00:00+00:00,-0.21075231481481482,New User,1,False
Aaajim,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_7_Juni_2026,2026-05-20 06:09:21+00:00,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_7_Juni_2026,Kopdar Wikidata Bandung 7 Juni 2026,2026-06-06 22:00:00+00:00,Kopdar,2026-06-06 22:00:00+00:00,17.660173611111112,Existing User,1,False
Abdisaverio,Wikimedia_Indonesia/Kopdar_Wikimedia_Surabaya_20_November_2025_(20_November_2025),2025-08-24 07:07:03+00:00,Wikimedia_Indonesia/Kopdar_Wikimedia_Surabaya_20_November_2025_(20_November_2025),Kopdar Wikimedia Surabaya 20 November 2025,2025-11-19 22:00:00+00:00,Kopdar,2025-11-19 22:00:00+00:00,87.62010416666666,Existing User,1,False
Abilhzn,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-03 06:25:36+00:00,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,Wikilatih WIkidata Telkom University Oktober 2025,2025-10-03 22:00:00+00:00,Wikilatih,2025-10-03 22:00:00+00:00,0.6488888888888888,New User,1,False
Adelinavm,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-04 02:35:06+00:00,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,Wikilatih WIkidata Telkom University Oktober 2025,2025-10-03 22:00:00+00:00,Wikilatih,2025-10-03 22:00:00+00:00,-0.19104166666666667,New User,1,False
Adhi Kurniawan,Wikimedia_Indonesia/Kopdar_Wikimedia_Surabaya_20_November_2025_(20_November_2025),2012-09-15 18:29:58+00:00,Wikimedia_Indonesia/Kopdar_Wikimedia_Surabaya_20_November_2025_(20_November_2025),Kopdar Wikimedia Surabaya 20 November 2025,2025-11-19 22:00:00+00:00,Kopdar,2025-11-19 22:00:00+00:00,4813.145856481481,Existing User,1,False
Adhiiik,Wikimedia_Indonesia/Pemagangan_Datatek_Desember_2025,2025-12-16 03:50:45+00:00,Wikimedia_Indonesia/Pemagangan_Datatek_Desember_2025,Pemagangan Datatek Desember 2025,2025-12-14 17:00:00+00:00,Pemagangan,2025-12-14 17:00:00+00:00,-1.4519097222222221,New User,3,True
Adhmi,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2018-05-03 07:41:24+00:00,Wikimedia_Indonesia/Geodatathon_Agustus_2025,Geodatathon Agustus 2025,2025-08-26 17:00:00+00:00,Datathon,2025-08-26 17:00:00+00:00,2672.3879166666666,Existing User,2,True
Ading aja,Wikimedia_Indonesia/Wikilatih_Wikidata_Jakarta_31_Maret_2026,2026-03-31 07:57:59+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Jakarta_31_Maret_2026,Wikilatih Wikidata Jakarta 31 Maret 2026,2026-03-30 22:00:00+00:00,Wikilatih,2026-03-30 22:00:00+00:00,-0.4152662037037037,New User,1,False
Afdhal Sy,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2024-09-22 13:24:56+00:00,Wikimedia_Indonesia/Geodatathon_Agustus_2025,Geodatathon Agustus 2025,2025-08-26 17:00:00+00:00,Datathon,2025-08-26 17:00:00+00:00,338.14935185185186,Existing User,5,True
Affandy Murad,Wikimedia_Indonesia/Kopdar_Wikidata_Jakarta_14_Desember_2025_(14_Desember_2025),2008-06-30 12:36:43+00:00,Wikimedia_Indonesia/Kopdar_Wikidata_Jakarta_14_Desember_2025_(14_Desember_2025),Kopdar Wikidata Jakarta 14 Desember 2025,2025-12-13 15:00:00+00:00,Kopdar,2025-12-13 15:00:00+00:00,6375.099502314815,Existing User,2,True
Afifah Al Adzkiya,Wikimedia_Indonesia/Wikilatih_Wikidata_Yogyakarta_2026,2025-12-01 08:00:35+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Yogyakarta_2026,Wikilatih Wikidata Yogyakarta 2026,2026-04-25 22:00:00+00:00,Wikilatih,2026-04-25 22:00:00+00:00,145.58292824074073,Existing User,1,False
Agavegaza20,Wikimedia_Indonesia/Wikilatih_Wikidata_Semarang_21_Juni_2026,2026-06-21 03:31:21+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Semarang_21_Juni_2026,Wikilatih Wikidata Semarang 21 Juni 2026,2026-06-20 23:00:00+00:00,Wikilatih,2026-06-20 23:00:00+00:00,-0.1884375,New User,1,False
Aghnisans,Wikimedia_Indonesia/Wikilatih_Wikidata_Banjarnegara,2024-09-29 04:23:24+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Banjarnegara,Wikilatih Wikidata Banjarnegara,2026-04-18 22:00:00+00:00,Wikilatih,2026-04-18 22:00:00+00:00,566.73375,Existing User,1,False
Ah.Masyhar,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2021-10-09 13:13:51+00:00,Wikimedia_Indonesia/Datathon_Musik_Indonesia,Datathon Musik Indonesia,2026-01-28 17:00:00+00:00,Datathon,2026-01-28 17:00:00+00:00,1572.1570486111111,Existing User,2,True
Ahma042,Wikimedia_Indonesia/Wikilatih_Wikidata_BRIN,2026-03-02 14:25:23+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_BRIN,Wikilatih Wikidata BRIN,2026-03-02 22:00:00+00:00,Wikilatih,2026-03-02 22:00:00+00:00,0.31570601851851854,New User,1,False
Ahmadrizky0102,Wikimedia_Indonesia/Kopdar_Wikidata_Malang_5_Desember_2025,2023-10-27 13:56:59+00:00,Wikimedia_Indonesia/Kopdar_Wikidata_Malang_5_Desember_2025,Kopdar Wikidata Malang 5 Desember 2025,2025-12-04 22:00:00+00:00,Kopdar,2025-12-04 22:00:00+00:00,769.3354282407407,Existing User,1,False
Ahmedsheeran,Wikimedia_Indonesia/Wikilatih_Wikidata_Madura_29_Maret,2025-11-06 21:58:35+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Madura_29_Maret,Wikilatih Wikidata Madura 29 Maret,2026-03-28 22:00:00+00:00,Wikilatih,2026-03-28 22:00:00+00:00,142.0009837962963,Existing User,2,True
Ailymaheswari,Wikimedia_Indonesia/Wikilatih_Wikidata_Banjarnegara,2026-04-19 03:04:22+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Banjarnegara,Wikilatih Wikidata Banjarnegara,2026-04-18 22:00:00+00:00,Wikilatih,2026-04-18 22:00:00+00:00,-0.21136574074074074,New User,1,False
Akusukabayam,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,2026-01-25 03:10:30+00:00,Wikimedia_Indonesia/Kopdar_Wikidata_Daluring_Jambi_x_Jakarta_Januari_2025,Kopdar Wikidata Daluring Jambi x Jakarta Januari 2025,2026-01-24 22:00:00+00:00,Kopdar,2026-01-24 22:00:00+00:00,-0.215625,New User,1,False
Alexpendria,Wikimedia_Indonesia/Wikilatih_Wikidata_Daring_untuk_Akademisi,2025-09-25 00:06:50+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Daring_untuk_Akademisi,Wikilatih Wikidata Daring untuk Akademisi,2025-12-18 22:00:00+00:00,Wikilatih,2025-12-18 22:00:00+00:00,84.9119212962963,Existing User,2,True
Alicya-,Wikimedia_Indonesia/Datathon_Bulan_Wiki_Perempuan_2026,2019-12-03 03:42:36+00:00,Wikimedia_Indonesia/Datathon_Bulan_Wiki_Perempuan_2026,Datathon Bulan Wiki Perempuan 2026,2026-04-23 17:00:00+00:00,Datathon,2026-04-23 17:00:00+00:00,2333.55375,Existing User,1,False
Alrenasalsa,Wikimedia_Indonesia/Wikilatih_Wikidata_Semarang_21_Juni_2026,2026-06-20 00:29:58+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Semarang_21_Juni_2026,Wikilatih Wikidata Semarang 21 Juni 2026,2026-06-20 23:00:00+00:00,Wikilatih,2026-06-20 23:00:00+00:00,0.9375231481481482,New User,1,False
Alykarina,Wikimedia_Indonesia/Datathon_Bulan_Wiki_Perempuan_2026,2026-02-16 04:42:55+00:00,Wikimedia_Indonesia/Datathon_Bulan_Wiki_Perempuan_2026,Datathon Bulan Wiki Perempuan 2026,2026-04-23 17:00:00+00:00,Datathon,2026-04-23 17:00:00+00:00,66.51186342592592,Existing User,1,False
Amelia.marelle,Wikimedia_Indonesia/Wikilatih_Wikidata_Banjarnegara,2026-04-19 02:58:30+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Banjarnegara,Wikilatih Wikidata Banjarnegara,2026-04-18 22:00:00+00:00,Wikilatih,2026-04-18 22:00:00+00:00,-0.20729166666666668,New User,1,False
Amruelasaa,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,2026-01-18 00:48:09+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Bangka_Belitung_Januari_2026,Wikilatih Wikidata Bangka Belitung Januari 2026,2026-01-17 22:00:00+00:00,Wikilatih,2026-01-17 22:00:00+00:00,-0.11677083333333334,New User,1,False
Anastasya Theo,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,2026-01-10 05:37:11+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_BPS_Sumut,Wikilatih Wikidata BPS Sumut,2026-01-09 22:00:00+00:00,Wikilatih,2026-01-09 22:00:00+00:00,-0.3174884259259259,New User,1,False
Andra Aliyev,Wikimedia_Indonesia/Kopdar_Wikidata_Jakarta_14_Desember_2025_(14_Desember_2025),2016-01-17 15:20:58+00:00,Wikimedia_Indonesia/Kopdar_Wikidata_Jakarta_14_Desember_2025_(14_Desember_2025),Kopdar Wikidata Jakarta 14 Desember 2025,2025-12-13 15:00:00+00:00,Kopdar,2025-12-13 15:00:00+00:00,3617.985439814815,Existing User,1,False
Andri Kesenja 01,Wikimedia_Indonesia/Geodatathon_Agustus_2025,2020-09-25 06:58:59+00:00,Wikimedia_Indonesia/Geodatathon_Agustus_2025,Geodatathon Agustus 2025,2025-08-26 17:00:00+00:00,Datathon,2025-08-26 17:00:00+00:00,1796.4173726851852,Existing User,1,False
Anifatun Kh,Wikimedia_Indonesia/Wikilatih_Wikidata_Banjarnegara,2026-04-18 17:15:02+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Banjarnegara,Wikilatih Wikidata Banjarnegara,2026-04-18 22:00:00+00:00,Wikilatih,2026-04-18 22:00:00+00:00,0.19789351851851852,New User,1,False
Anita Basyaiban,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2026-01-30 03:56:18+00:00,Wikimedia_Indonesia/Datathon_Musik_Indonesia,Datathon Musik Indonesia,2026-01-28 17:00:00+00:00,Datathon,2026-01-28 17:00:00+00:00,-1.4557638888888889,New User,2,True
Anjarilham123,Wikimedia_Indonesia/Wikilatih_Wikidata_BRIN,2026-03-03 01:12:46+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_BRIN,Wikilatih Wikidata BRIN,2026-03-02 22:00:00+00:00,Wikilatih,2026-03-02 22:00:00+00:00,-0.13386574074074073,New User,1,False
Annafinanda,Wikimedia_Indonesia/Wikilatih_Wikidata_Yogyakarta_2026,2025-10-14 12:40:53+00:00,Wikimedia_Indonesia/Wikilatih_Wikidata_Yogyakarta_2026,Wikilatih Wikidata Yogyakarta 2026,2026-04-25 22:00:00+00:00,Wikilatih,2026-04-25 22:00:00+00:00,193.38827546296295,Existing User,2,True
Annidafattiya,Wikimedia_Indonesia/Datathon_Musik_Indonesia,2023-03-13 12:01:15+00:00,Wikimedia_Indonesia/Datathon_Musik_Indonesia,Datathon Musik Indonesia,2026-01-28 17:00:00+00:00,Datathon,2026-01-28 17:00:00+00:00,1052.2074652777778,Existing User,1,False
